index_of_pixel,label,source_of_pixel
[59 37 52],1.0,9
[33 34 36],1.0,7
[49 38 58],1.0,1
[53 30 32],1.0,2
[44 51 40],2.0,10
[71 52 57],1.0,3
[40 47 46],1.0,2
[25 38 39],1.0,7
[58 56 40],1.0,2
[16 56 46],1.0,6
[42 60 51],2.0,10
[49 58 23],1.0,3
[44 16 33],1.0,8
[18 26 37],1.0,7
[11 20 37],1.0,6
[47 53 42],1.0,1
[44 32 51],1.0,10
[44 43 28],1.0,10
[70 77 59],1.0,3
[42 56 45],2.0,1
[73 49 50],1.0,3
[27 36 26],2.0,4
[11  9 14],1.0,0
[69 52 28],1.0,10
[20 36 26],2.0,7
[50 34 29],1.0,4
[54 44 35],1.0,3
[36 36 28],1.0,9
[54 44 38],2.0,10
[ 5 37 21],1.0,7
[40 49 35],2.0,1
[65 61 46],1.0,2
[53 39 37],1.0,5
[38 33 25],1.0,8
[14 38 23],2.0,7
[41 43 38],1.0,9
[49 48 48],2.0,10
[44 38 30],1.0,1
[46 40 31],1.0,2
[42 50 58],1.0,9
[44 60 37],2.0,10
[46 37 28],1.0,3
[35 46 31],1.0,9
[44 59 44],2.0,1
[13 24 11],1.0,0
[28 21 16],1.0,7
[64 32 38],2.0,9
[76 80 50],1.0,3
[71 28 47],1.0,9
[32 51 38],1.0,8
[30 39 17],1.0,5
[70 49 39],1.0,10
[25 44 35],2.0,1
[68 75 45],1.0,3
[48 54 37],2.0,10
[39 49 32],1.0,9
[47 60 47],2.0,10
[32 37 63],1.0,1
[63 27 40],2.0,3
[68 45 42],1.0,9
[61 59 32],1.0,10
[42 19 37],2.0,8
[45 53 33],1.0,9
[50 56 34],2.0,10
[63 38 38],1.0,10
[39 43 27],1.0,4
[62 37 39],2.0,9
[55 42 57],1.0,3
[32 45 33],1.0,7
[55 57 54],1.0,9
[48 30 50],1.0,10
[49 32 23],1.0,5
[22 46 45],1.0,6
[23 37 41],1.0,6
[66 32 39],2.0,9
[46 55 35],1.0,3
[47 26 38],1.0,8
[48 33 53],1.0,10
[29 55 44],2.0,1
[53 38 44],1.0,9
[42 35 34],2.0,10
[50 37 24],1.0,3
[55 23 48],1.0,9
[44 44 47],1.0,9
[29 31 43],1.0,9
[36 51 31],2.0,1
[59 33 54],1.0,3
[51 53 50],2.0,10
[61 57 43],1.0,3
[38 45 36],2.0,8
[50 57 34],1.0,9
[15 42 30],2.0,7
[51 37 28],1.0,2
[21 35 26],2.0,7
[53 70 51],1.0,10
[43 44 38],1.0,2
[42 43 37],2.0,10
[65 59 44],1.0,2
[49 43 27],1.0,10
[65 53 31],1.0,10
[51 43 48],2.0,3
[60 29 58],1.0,3
[63 38 27],1.0,10
[52 41 25],1.0,4
[52 49 42],2.0,10
[37 13 33],1.0,8
[36 36 54],1.0,1
[15 37 22],2.0,7
[71 34 38],1.0,10
[41 53 35],2.0,10
[52 26 41],1.0,2
[77 80 56],1.0,3
[29 50 30],1.0,5
[26 38 37],1.0,4
[69 41 45],1.0,9
[46 45 52],2.0,10
[35 27 30],1.0,7
[50 31 35],2.0,5
[39 19 33],2.0,8
[55 43 47],2.0,3
[41 44 49],1.0,9
[43 59 42],2.0,1
[47 65 26],1.0,3
[30 46 42],2.0,1
[44 64 40],1.0,3
[62 31 29],1.0,9
[54 51 57],1.0,3
[38 53 34],1.0,5
[31 43 22],2.0,7
[60 36 35],1.0,2
[57 23 37],1.0,9
[49 50 23],1.0,2
[50 55 27],1.0,10
[40 74 31],1.0,3
[53 38 37],1.0,2
[18 34 18],2.0,7
[55 51 27],1.0,9
[71 28 41],2.0,3
[54 32 51],2.0,3
[39 46 20],1.0,5
[37 39 21],1.0,8
[29 28 50],1.0,1
[65 37 52],1.0,9
[51 61 48],1.0,3
[41 28 41],1.0,10
[18 49 35],1.0,6
[23 43 35],1.0,8
[72 30 37],2.0,3
[64 55 36],1.0,10
[16 22 44],1.0,6
[20 40 22],1.0,6
[47 59 53],2.0,10
[56 20 51],1.0,9
[49 53 29],1.0,10
[32 35 34],2.0,5
[46 25 52],1.0,9
[48 57 33],2.0,10
[15 36 27],1.0,6
[21 28 36],1.0,4
[42 50 33],2.0,1
[70 43 42],1.0,9
[18 19  2],1.0,0
[46 53 47],2.0,10
[33 51 43],1.0,10
[44 53 34],2.0,10
[64 48 33],1.0,10
[45 41 29],1.0,2
[15 42 40],1.0,6
[56 47 42],1.0,9
[21 18 30],1.0,7
[55 20 45],1.0,9
[51 53 25],1.0,2
[47 34 41],1.0,9
[24 32 29],2.0,4
[17 29  5],1.0,0
[21 49 21],2.0,7
[59 13 29],1.0,2
[37 47 33],2.0,8
[43 51 31],1.0,9
[75 37 53],2.0,3
[77 74 60],1.0,3
[21 47 20],2.0,7
[55 38 50],1.0,9
[26 32 34],2.0,4
[41 43 34],1.0,9
[38 46 36],2.0,10
[39 22 55],1.0,9
[39 17 29],1.0,7
[40 16 29],1.0,4
[18 48 29],2.0,7
[ 9 34 23],1.0,6
[43 55 37],2.0,10
[48 54 29],1.0,3
[56 52 34],1.0,9
[44 30 38],2.0,10
[72 61 58],1.0,3
[53 25 28],1.0,5
[58 50 52],2.0,10
[11 47 31],1.0,6
[45 24 36],2.0,5
[72 48 40],1.0,3
[42 25 38],2.0,8
[57 41 35],1.0,10
[41 31 34],2.0,8
[58 53 49],1.0,9
[32 31 33],1.0,7
[40 24 35],2.0,8
[49 84 40],1.0,3
[58 78 29],1.0,3
[46 35 41],2.0,3
[29 53 24],2.0,7
[55 32 41],1.0,2
[43 33 33],1.0,10
[23 51 48],1.0,1
[52 77 46],1.0,3
[48 36 30],1.0,5
[47 41 49],1.0,1
[38 24 37],2.0,5
[44 43 29],1.0,9
[43 31 29],1.0,9
[35 39 24],1.0,5
[23 41 51],1.0,1
[39 45 37],1.0,5
[38 52 32],1.0,10
[62 30 34],1.0,3
[75 41 40],1.0,10
[72 31 40],2.0,3
[21 30 22],2.0,7
[60 28 40],2.0,3
[53 22 38],1.0,1
[38 44 27],1.0,2
[13 25 22],1.0,6
[11 45 37],1.0,7
[49 47 42],2.0,10
[51 52 30],1.0,10
[19 53 30],2.0,7
[33 25 20],1.0,8
[61 47 37],1.0,10
[20 35 32],2.0,7
[41 48 34],2.0,1
[53 42 40],1.0,2
[49 46 52],2.0,10
[23 36 38],1.0,4
[37 31 27],1.0,1
[16 41 20],2.0,7
[ 7 33 33],1.0,6
[30 41 51],1.0,1
[20 50 28],1.0,6
[53 25 55],1.0,9
[48 50 36],2.0,10
[42 50 34],1.0,3
[13 53 42],1.0,6
[52 76 50],1.0,3
[46 45 25],1.0,5
[50 44 30],1.0,10
[42 15 40],2.0,2
[44 31 34],2.0,5
[70 44 28],1.0,10
[41 58 36],2.0,1
[16 17  0],1.0,0
[51 35 27],1.0,5
[20 27 33],1.0,6
[33 28 27],1.0,4
[48 50 17],1.0,5
[36 55 42],2.0,1
[22 43 26],2.0,7
[43 48 28],1.0,3
[44 35 27],2.0,8
[58 34 55],1.0,3
[45 36 42],2.0,10
[57 36 40],1.0,1
[41 53 30],1.0,3
[45 54 47],2.0,1
[65 27 35],1.0,2
[62 37 47],2.0,3
[63 75 27],1.0,3
[58 79 26],1.0,3
[43 68 43],1.0,10
[43 51 43],2.0,10
[33 46 42],2.0,10
[67 51 46],1.0,3
[39 38 39],2.0,5
[35 30 27],1.0,5
[36 46 37],1.0,9
[74 35 37],2.0,3
[36 23 48],1.0,9
[70 34 32],1.0,9
[31 47 30],2.0,8
[38 24 32],1.0,4
[40 39 20],1.0,5
[57 83 39],1.0,3
[ 8 44 29],2.0,7
[43 35 44],1.0,1
[11 37 18],2.0,7
[14 50 17],1.0,7
[35 52 32],1.0,9
[21 38 31],2.0,7
[52 35 25],1.0,2
[75 35 31],1.0,3
[14 33 21],2.0,7
[46 40 54],1.0,9
[68 26 45],1.0,9
[27 54 26],2.0,7
[48 42 56],1.0,3
[32 43 40],1.0,6
[21 20 33],1.0,7
[69 37 35],1.0,3
[37 40 45],2.0,10
[65 76 58],1.0,3
[ 9 30 40],1.0,6
[34 28 42],1.0,9
[30 37 56],1.0,9
[52 75 57],1.0,3
[73 28 41],2.0,3
[39 20 59],1.0,9
[75 38 40],2.0,3
[37 52 42],1.0,3
[51 37 29],1.0,5
[49 43 52],2.0,10
[51 72 45],1.0,3
[26 49 36],1.0,7
[47 49 22],1.0,5
[23 53 32],1.0,8
[21 38 17],2.0,7
[51 18 30],1.0,2
[71 37 26],1.0,10
[71 27 59],1.0,3
[44 42 48],2.0,10
[18 37 34],1.0,4
[43 70 34],1.0,3
[19 23 27],1.0,7
[24 48 28],2.0,7
[48 50 27],1.0,10
[77 22 48],1.0,3
[17 45 25],2.0,7
[47 40 41],2.0,3
[43 42 23],1.0,2
[62 46 41],1.0,9
[39 41 31],2.0,8
[56 29 29],1.0,9
[45 37 25],2.0,8
[74 37 56],1.0,3
[53 52 43],2.0,10
[65 39 35],1.0,9
[32 45 52],1.0,3
[24 28 31],1.0,6
[18 42 38],1.0,6
[10 39 39],1.0,6
[49 47 44],1.0,1
[ 7 40 24],2.0,7
[42 48 32],1.0,2
[41 39 51],2.0,10
[12 36 27],1.0,6
[63 65 55],1.0,3
[18 36 28],2.0,7
[62 51 25],1.0,3
[28 32 55],1.0,9
[80 40 60],1.0,3
[62 47 28],1.0,10
[75 37 48],2.0,3
[59 72 51],1.0,3
[15 21 40],1.0,6
[13 46 22],2.0,7
[48 39 27],1.0,10
[48 44 39],1.0,9
[19 45 24],2.0,7
[26 52 39],1.0,4
[28 55 31],1.0,7
[19 45 34],2.0,7
[57 74 48],1.0,3
[12 38 30],2.0,7
[51 59 47],1.0,9
[58 45 30],1.0,3
[24 33 39],1.0,4
[29 45 44],2.0,1
[72 48 53],1.0,10
[48 63 46],2.0,10
[34 36 34],1.0,10
[54 59 42],1.0,9
[43 61 29],1.0,3
[32 47 27],2.0,7
[49 39 65],1.0,1
[31 41 25],2.0,7
[25 46 50],1.0,1
[24 33 26],2.0,4
[40 54 46],2.0,10
[37 42 48],1.0,2
[26 20 26],1.0,6
[53 41 46],2.0,10
[19 31 37],1.0,6
[44 50 48],2.0,1
[29 46 56],1.0,1
[29 40 46],1.0,9
[60 16 37],1.0,2
[32 53 44],2.0,1
[51 25 35],1.0,1
[19 47 40],1.0,6
[26 53 32],1.0,7
[50 45 31],1.0,3
[41 46 42],2.0,1
[34 45 31],1.0,4
[39 47 38],1.0,8
[33 26 51],1.0,1
[48 50 32],1.0,9
[69 48 47],1.0,10
[28 28 29],2.0,4
[38 37 35],1.0,7
[17 39 36],2.0,7
[52 70 31],1.0,3
[47 53 31],1.0,1
[62 46 31],1.0,10
[17 18 29],1.0,7
[45 37 32],2.0,10
[ 8 22 44],1.0,6
[72 36 34],1.0,3
[46 55 43],2.0,1
[59 49 43],1.0,3
[51 42 32],2.0,10
[15 47 38],1.0,7
[ 6 43 28],2.0,7
[39 35 28],1.0,5
[69 80 47],1.0,3
[46 61 33],2.0,10
[51 43 24],1.0,3
[43 40 50],1.0,1
[44 18 29],2.0,8
[27 40 42],1.0,9
[25 40 35],2.0,7
[51 38 34],2.0,10
[34 13 38],1.0,2
[44 50 42],2.0,1
[49 48 59],1.0,3
[41 23 36],2.0,8
[65 61 43],1.0,10
[54 44 47],2.0,3
[55 30 40],1.0,2
[78 54 44],1.0,3
[34 52 36],2.0,1
[47 81 28],1.0,3
[38 47 56],1.0,1
[52 44 20],1.0,5
[31 52 35],2.0,1
[53 20 49],1.0,2
[17 50 34],1.0,7
[34 49 57],1.0,1
[34 18 28],2.0,8
[33 41 20],1.0,8
[31 34 52],1.0,9
[19 25 26],2.0,7
[37 32 40],1.0,4
[28 41 33],2.0,7
[58 49 24],1.0,3
[67 64 48],1.0,10
[28 27 40],1.0,2
[69 40 55],1.0,9
[19 40 33],1.0,6
[42 52 33],1.0,9
[68 64 32],1.0,3
[10 41 15],2.0,7
[38 41 18],1.0,8
[47 51 39],2.0,10
[13 34 35],1.0,6
[52 49 32],1.0,9
[44 23 37],1.0,9
[51 55 33],2.0,10
[62 75 38],1.0,3
[33 48 42],2.0,1
[47 16 28],1.0,4
[19 36 44],1.0,6
[34 39 40],2.0,10
[48 41 54],1.0,1
[35 31 29],1.0,2
[37 53 57],1.0,1
[14 36 30],2.0,7
[49 42 43],2.0,3
[36 36 38],2.0,10
[38 41 44],1.0,3
[21 20 24],1.0,4
[16 50 22],2.0,7
[49 73 54],1.0,3
[41 41 38],2.0,3
[48 39 28],1.0,10
[67 49 47],1.0,2
[17 27 35],1.0,6
[33 20 21],1.0,8
[71 38 44],2.0,3
[28 41 37],1.0,2
[53 57 29],1.0,10
[12 47 25],2.0,6
[78 21 46],1.0,3
[50 55 46],2.0,10
[64 71 57],1.0,3
[24 34  9],1.0,0
[ 3 40 27],1.0,6
[32 52 58],1.0,1
[38 43 48],2.0,1
[36 44 42],2.0,1
[34 41 45],1.0,2
[37 26 31],2.0,4
[53 74 41],1.0,3
[39 43 42],2.0,10
[66 58 46],1.0,3
[27 36 21],2.0,7
[10 37 35],1.0,6
[50 37 49],2.0,10
[34 40 54],1.0,1
[58 39 26],1.0,3
[40 17 32],2.0,8
[38 40 30],1.0,4
[40 31 26],1.0,5
[46 42 41],2.0,3
[35 22 36],1.0,9
[48 39 53],2.0,3
[39 27 36],2.0,5
[49 29 23],1.0,2
[46 37 35],2.0,10
[38 60 23],1.0,3
[16 31 32],2.0,7
[49 81 51],1.0,3
[38 29 54],1.0,9
[39 59 59],1.0,3
[30 33 46],1.0,10
[46 59 51],2.0,10
[48 25 20],1.0,5
[44 57 49],2.0,10
[21 44 26],1.0,6
[48 27 31],2.0,5
[46 25 23],1.0,2
[42 59 33],1.0,3
[18 13 21],2.0,0
[16 36 31],1.0,6
[19 43 36],2.0,7
[41 36 29],1.0,3
[42 53 37],2.0,10
[77 40 41],2.0,3
[54 86 48],1.0,3
[45 32 28],2.0,8
[53 31 45],1.0,1
[41 50 33],2.0,10
[71 65 44],1.0,3
[51 30 31],2.0,5
[48 35 54],1.0,3
[28 48 29],2.0,7
[39 29 45],1.0,9
[48 53 39],1.0,3
[42 20 43],1.0,1
[40 48 32],1.0,5
[27 31 36],1.0,9
[16 19 20],1.0,7
[38 22 28],2.0,8
[33 53 53],1.0,3
[40 23 25],2.0,8
[70 58 44],1.0,3
[23 38 36],2.0,7
[48 48 29],1.0,1
[29 33 26],2.0,4
[37 66 40],1.0,3
[81 30 48],1.0,3
[27 43 27],1.0,4
[41 19 41],2.0,2
[41 69 47],1.0,3
[ 6 37 31],1.0,7
[58 32 48],1.0,1
[31 46 29],2.0,8
[32 49 51],1.0,9
[26 46 31],2.0,7
[68 40 43],1.0,10
[14 46 22],2.0,7
[77 43 56],1.0,3
[33 46 38],2.0,1
[29 36 50],1.0,1
[14 43 32],2.0,7
[55 58 33],1.0,10
[36 48 29],1.0,4
[41 41 23],1.0,5
[40 41 28],2.0,8
[15 27  8],1.0,0
[34 39 44],2.0,10
[43 48 39],1.0,9
[22 30 25],2.0,7
[28 27 44],1.0,9
[24 48 27],2.0,7
[37 39 27],1.0,1
[58 55 40],1.0,3
[43 45 37],1.0,8
[20 17  8],1.0,0
[76 26 43],2.0,3
[61 48 47],1.0,3
[30 45 40],2.0,1
[13 50 47],1.0,6
[68 32 44],2.0,3
[47 46 27],1.0,9
[59 60 23],1.0,3
[55 34 39],1.0,1
[44 42 31],1.0,10
[49 50 60],1.0,1
[31 37 31],1.0,5
[28 44 44],2.0,1
[20 37 20],1.0,0
[41 54 41],1.0,3
[28 43 34],2.0,7
[27 40 21],1.0,0
[53 34 51],2.0,3
[54 30 44],1.0,1
[38 42 31],2.0,8
[37 56 35],1.0,3
[77 56 58],1.0,3
[35 38 38],2.0,10
[40 23 36],2.0,2
[42 42 53],2.0,10
[65 47 33],1.0,10
[55 32 35],1.0,3
[50 37 23],1.0,5
[47 71 54],1.0,3
[39 50 33],2.0,1
[45 57 29],1.0,5
[30 26 37],1.0,4
[53 36 32],1.0,5
[39 42 39],2.0,8
[34 45 41],2.0,1
[53 30 20],1.0,5
[52 42 22],1.0,5
[39 36 49],2.0,10
[27 37 38],1.0,6
[68 34 40],2.0,3
[60 71 45],1.0,3
[63 80 48],1.0,3
[55 43 42],2.0,10
[54 37 27],1.0,9
[63 33 36],2.0,3
[32 48 59],1.0,3
[53 65 52],1.0,3
[61 83 47],1.0,3
[77 31 41],2.0,3
[ 9 26  7],1.0,0
[25 40 29],2.0,7
[45 29 47],1.0,1
[43 37 28],2.0,8
[54 43 22],1.0,2
[18 32 33],1.0,4
[29 35 29],2.0,4
[48 40 29],1.0,3
[69 48 30],1.0,10
[78 29 47],2.0,3
[72 61 48],1.0,3
[15 43 26],2.0,7
[10 24  7],1.0,0
[16 45 38],1.0,6
[39 54 29],1.0,10
[23 33  9],1.0,0
[39 20 35],2.0,8
[41 37 39],2.0,10
[53 50 56],1.0,3
[65 43 38],1.0,10
[40 27 42],1.0,1
[26 43 20],2.0,7
[31 29 24],1.0,5
[46 51 52],1.0,3
[69 25 30],1.0,3
[14 39 23],1.0,6
[40 51 40],2.0,1
[44 42 52],2.0,10
[50 35 45],2.0,3
[70 20 48],1.0,3
[ 9 41 20],2.0,7
[38 57 51],1.0,3
[65 25 30],1.0,3
[49 18 45],1.0,2
[44 60 42],2.0,10
[41 41 33],1.0,4
[10 21  6],1.0,0
[45 64 41],2.0,10
[ 8 33 27],2.0,7
[76 80 45],1.0,3
[39 80 57],1.0,3
[53 66 39],1.0,10
[46 29 27],1.0,5
[28 38 44],1.0,1
[39 47 36],2.0,1
[54 59 53],1.0,3
[75 23 49],2.0,3
[50 33 48],1.0,9
[44 61 39],2.0,10
[32 36 42],1.0,10
[37 48 44],2.0,1
[43 33 47],2.0,3
[20 38 29],1.0,6
[67 32 30],1.0,9
[27 45 57],1.0,1
[51 45 30],1.0,10
[46 36 35],1.0,3
[51 53 38],1.0,2
[60 47 40],1.0,9
[39 33 53],2.0,10
[62 42 54],1.0,1
[40 26 40],1.0,9
[50 35 26],1.0,5
[42 21 35],2.0,2
[31 42 19],1.0,8
[65 40 61],1.0,1
[57 49 39],1.0,10
[47 54 39],2.0,10
[44 33 49],1.0,9
[45 37 42],2.0,3
[43 64 39],1.0,3
[38 51 50],1.0,9
[53 37 52],1.0,1
[18 35 36],2.0,7
[63 46 34],1.0,10
[37 43 37],1.0,2
[54 35 40],2.0,3
[37 35 51],1.0,3
[44 35 32],2.0,5
[52 79 33],1.0,3
[39 23 26],2.0,8
[53 55 36],1.0,1
[38 21 31],1.0,7
[42 21 55],1.0,9
[20 22 39],1.0,7
[52 55 57],1.0,3
[19 48 27],2.0,7
[41 77 50],1.0,3
[37 34 33],1.0,10
[71 33 34],1.0,3
[45 32 38],2.0,5
[33 24 33],1.0,2
[51 35 48],1.0,9
[60 32 36],2.0,9
[34 68 41],1.0,3
[55 42 29],1.0,10
[21 29  4],1.0,0
[35 24 41],1.0,4
[50 44 33],1.0,5
[42 23 33],2.0,8
[40 45 30],1.0,7
[52 42 43],2.0,10
[34 42 23],1.0,5
[35 37 29],1.0,2
[14 37 26],2.0,7
[26 40 36],1.0,1
[17 38 23],2.0,7
[33 40 39],1.0,4
[33 68 40],1.0,3
[66 80 48],1.0,3
[46 77 31],1.0,3
[55 48 30],1.0,2
[22 45 45],1.0,1
[51 57 32],1.0,5
[46 39 51],2.0,10
[61 38 38],1.0,10
[57 49 59],1.0,3
[43 25 36],2.0,8
[33 54 46],1.0,3
[52 46 61],1.0,1
[50 24 38],1.0,1
[50 69 44],1.0,10
[62 57 48],1.0,2
[46 53 27],1.0,5
[63 48 35],1.0,9
[45 18 41],2.0,2
[15 35 27],1.0,6
[32 48 45],2.0,1
[60 16 46],1.0,2
[45 50 30],1.0,3
[70 39 30],1.0,10
[42 52 40],2.0,1
[63 73 31],1.0,3
[50 61 38],2.0,10
[53 32 48],1.0,9
[43 38 27],1.0,10
[49 28 38],2.0,5
[54 30 39],2.0,9
[17 22 29],1.0,7
[13 44 28],2.0,7
[66 30 47],1.0,9
[76 29 43],2.0,3
[71 33 57],1.0,3
[46 41 52],2.0,10
[40 52 50],2.0,10
[57 56 32],1.0,9
[31 44 22],2.0,7
[43 54 41],1.0,9
[19 33  5],1.0,0
[65 47 53],1.0,9
[19 40 37],1.0,6
[26 36 41],1.0,4
[45 17 41],2.0,2
[34 63 23],1.0,3
[38 43 33],2.0,8
[57 33 44],1.0,2
[40 44 31],1.0,3
[54 46 54],2.0,10
[ 7 28 26],2.0,7
[65 82 52],1.0,3
[29 24 30],1.0,6
[11 49 24],2.0,6
[56 51 44],1.0,9
[50 51 23],1.0,3
[47 28 32],1.0,8
[33 46 32],1.0,4
[31 37 27],2.0,7
[25 21 31],2.0,8
[42 55 30],1.0,5
[53 51 49],2.0,10
[36 44 31],1.0,3
[60 57 31],1.0,10
[37 46 41],1.0,4
[38 24 36],1.0,4
[21 48 37],1.0,7
[34 51 39],2.0,1
[45 76 38],1.0,3
[28 37 44],1.0,1
[46 42 38],2.0,3
[33 40 53],1.0,3
[19 52 29],2.0,7
[27 41 35],1.0,9
[64 50 52],1.0,9
[66 49 55],1.0,9
[48 65 35],2.0,10
[47 35 25],1.0,4
[18 38 27],2.0,7
[50 30 32],1.0,1
[33 46 34],1.0,4
[36 38 33],1.0,10
[48 32 25],1.0,1
[46 72 25],1.0,3
[36 47 25],2.0,8
[39 32 64],1.0,1
[47 51 39],1.0,5
[49 47 37],2.0,10
[40 36 22],1.0,8
[76 48 35],1.0,3
[59 26 47],1.0,1
[32 41 36],1.0,7
[36 45 26],1.0,2
[14 44 25],2.0,7
[38 51 55],1.0,9
[61 31 39],1.0,2
[47 26 40],1.0,1
[31 54 36],2.0,1
[47 27 43],1.0,2
[40 17 30],2.0,8
[70 37 45],2.0,3
[29 46 38],1.0,7
[35 37 53],1.0,3
[41 25 43],1.0,9
[40 48 40],2.0,10
[65 46 60],1.0,1
[26 30 34],2.0,4
[54 70 35],1.0,3
[38 27 34],1.0,1
[33 47 30],1.0,9
[13 47 43],1.0,6
[37 43 56],1.0,9
[21 24 33],1.0,6
[43 31 37],2.0,8
[50 45 28],1.0,9
[43 15 34],2.0,2
[51 60 43],1.0,9
[58 50 25],1.0,3
[64 49 51],1.0,3
[62 81 52],1.0,3
[59 12 44],1.0,2
[56 76 35],1.0,3
[30 29 23],1.0,4
[17 52 30],2.0,7
[ 8 36 37],1.0,7
[30 29 55],1.0,9
[50 36 55],1.0,3
[14 33 38],1.0,6
[69 65 47],1.0,3
[13 13  9],1.0,0
[48 32 35],1.0,8
[44 49 37],2.0,10
[36 31 48],1.0,1
[23 49 43],1.0,1
[37 54 36],2.0,10
[46 41 56],1.0,9
[ 8 42 44],1.0,6
[39 38 49],2.0,10
[46 29 25],1.0,4
[57 23 27],1.0,2
[35 45 39],2.0,10
[28 44 25],1.0,5
[45 43 43],2.0,10
[30 45 25],2.0,7
[43 46 31],1.0,1
[69 27 44],2.0,3
[39 32 56],1.0,3
[52 38 23],1.0,5
[11 33 22],2.0,7
[48 31 59],1.0,9
[64 67 33],1.0,3
[16 45 26],2.0,7
[41 26 35],1.0,9
[74 26 37],2.0,3
[62 53 44],1.0,10
[75 27 34],1.0,3
[45 48 28],1.0,10
[36 54 39],2.0,1
[43 54 37],1.0,5
[51 26 25],1.0,5
[12 37 23],2.0,7
[63 65 32],1.0,3
[21 31 34],1.0,4
[78 76 57],1.0,3
[44 41 47],2.0,1
[28 39 56],1.0,9
[32 44 30],1.0,8
[27 29 26],2.0,7
[43 52 35],1.0,3
[ 9 19 47],1.0,6
[40 46 54],1.0,9
[41 44 36],1.0,8
[47 32 39],2.0,5
[51 14 42],1.0,2
[44 34 29],1.0,9
[51 35 39],1.0,1
[28 46 37],1.0,2
[44 38 35],1.0,3
[72 33 36],2.0,3
[70 35 59],1.0,3
[32 26 50],1.0,1
[70 41 53],1.0,9
[42 35 34],2.0,8
[65 43 40],1.0,2
[34 61 40],2.0,1
[25 24 46],1.0,6
[42 62 35],2.0,10
[42 62 51],1.0,3
[33 44 46],2.0,1
[49 26 34],1.0,1
[19 37 22],2.0,7
[62 58 40],1.0,2
[ 6 35 43],1.0,6
[59 45 43],1.0,10
[70 36 49],1.0,10
[65 50 36],1.0,3
[17 39 44],1.0,6
[52 13 48],1.0,2
[46 65 41],2.0,10
[56 28 27],1.0,9
[43 20 56],1.0,1
[38 42 36],2.0,8
[57 49 28],1.0,3
[54 54 30],1.0,10
[75 35 38],2.0,3
[70 41 36],1.0,3
[55 29 45],1.0,9
[18 34 27],2.0,4
[41 59 32],1.0,3
[25 42 38],1.0,7
[39 49 27],2.0,7
[50 47 42],1.0,9
[76 36 37],2.0,3
[38 16 37],1.0,8
[80 38 53],1.0,3
[45 48 38],2.0,10
[51 15 49],1.0,2
[17 35 19],2.0,7
[35 36 35],2.0,1
[61 33 57],1.0,1
[51 42 34],2.0,10
[32 27 35],1.0,9
[65 29 27],1.0,9
[39 52 39],1.0,2
[31 45 37],2.0,1
[54 25 34],1.0,9
[38 50 33],2.0,1
[42 37 29],1.0,9
[46 28 38],2.0,5
[29 56 26],2.0,7
[18 12 11],1.0,0
[44 53 49],2.0,1
[66 32 54],1.0,3
[29 42 33],2.0,7
[43 72 50],1.0,3
[59 33 30],1.0,9
[49 31 51],1.0,9
[24 29 39],1.0,4
[50 52 35],2.0,10
[40 48 25],1.0,5
[46 62 31],1.0,10
[27 44 30],1.0,6
[46 28 26],2.0,8
[40 29 49],1.0,9
[36 14 37],1.0,8
[37 52 37],2.0,1
[34 34 20],1.0,5
[36 67 52],1.0,3
[39 80 46],1.0,3
[53 46 36],1.0,5
[58 51 27],1.0,2
[19 31 36],1.0,4
[43 55 45],2.0,1
[60 25 54],1.0,1
[60 52 32],1.0,2
[37 13 35],1.0,2
[38 51 35],1.0,8
[57 49 30],1.0,10
[61 29 49],1.0,9
[43 34 39],2.0,8
[22  8 14],1.0,0
[56 31 47],1.0,9
[31 35 44],1.0,6
[35 38 27],1.0,5
[57 37 55],1.0,9
[76 33 40],2.0,3
[37 33 40],1.0,9
[37 55 39],2.0,1
[24 29 34],2.0,7
[70 41 54],1.0,3
[22 21 41],1.0,6
[38 47 34],1.0,4
[16 39 16],2.0,7
[46 75 44],1.0,3
[18 35 31],2.0,7
[52 27 31],1.0,2
[55 74 31],1.0,3
[55 64 26],1.0,3
[34 53 57],1.0,1
[59 69 32],1.0,3
[59 53 41],1.0,10
[31 40 22],1.0,5
[54 75 33],1.0,3
[25 34 24],2.0,7
[49 49 30],1.0,1
[30 45 47],2.0,1
[56 54 48],2.0,10
[57 54 47],1.0,3
[35 38 57],1.0,9
[21 41 34],2.0,7
[52 25 38],1.0,1
[37 15 33],1.0,4
[60 31 52],2.0,3
[54 40 29],1.0,3
[36 32 31],1.0,9
[61 53 53],1.0,3
[15 52 22],2.0,7
[46 52 29],1.0,2
[39 30 43],1.0,9
[72 32 41],1.0,9
[44 31 41],1.0,10
[18 24 32],1.0,6
[42 25 36],2.0,8
[55 68 47],1.0,10
[57 32 42],2.0,9
[17 48 29],1.0,6
[41 28 37],2.0,5
[53 39 33],1.0,5
[54 64 42],1.0,10
[23 52 23],1.0,6
[62 50 46],1.0,10
[11 23  9],1.0,0
[23 43 43],1.0,6
[37 39 31],1.0,2
[59 52 32],1.0,9
[29 32 28],2.0,7
[24 50 45],1.0,6
[37 17 30],2.0,8
[37 74 44],1.0,3
[31 36 26],2.0,7
[43 11 33],1.0,4
[44 44 36],2.0,10
[34 44 34],1.0,9
[71 38 46],2.0,3
[63 76 43],1.0,3
[26 25 38],1.0,6
[73 49 42],1.0,3
[44 39 50],2.0,10
[27 38 29],1.0,9
[69 35 38],2.0,3
